Date,Open,High,Low,Close,Volume
2022-11-11,43164.34,43715.26,43164.2,43698.34,1956758
2022-11-14,43699.41,44190.67,43690.81,44157.71,2038270
2022-11-15,44191.08,44596.27,43916.77,44308.29,2192750
2022-11-16,43982.94,44374.29,43499.97,44277.83,2546300
2022-11-17,44277.83,44666.81,43589.84,44037.15,1742397
2022-11-18,44040.89,44512.99,43739.37,44495.1,2100139
2022-11-21,44496.51,44778.83,44034.23,44592.9,1625854
2022-11-22,44601.5,45464.78,44601.5,45335.11,2526800
2022-11-23,45418.54,45883.07,44337.84,44930.52,3504185
2022-11-24,44930.66,45368.18,44601.12,45276.59,1507999
2022-11-25,45280.29,45849.74,44946.29,45715.33,1233222
2022-11-28,45715.33,45952.22,45484.64,45588.74,1900802
2022-11-29,45580.45,46295.33,45428.52,45780.62,2164847
2022-11-30,45785.25,46082.73,45556.97,45984.19,10435211
2022-12-01,45984.32,46471.08,45798.11,46368.37,2275108
2022-12-02,46366.99,46366.99,45538.95,45804.29,2553222
2022-12-05,45802.9,45804.22,44580.69,44666.01,1898820
2022-12-06,44599.27,45470.65,44207.42,45333.63,2511549
2022-12-07,45333.63,45764.19,44580.68,44614.88,2666369
2022-12-08,44595.54,44595.54,43625.85,43842.37,2867871
2022-12-09,43885.75,44634.8,43885.75,44182.0,1897840
2022-12-12,44181.29,44398.13,43781.7,43950.53,1527374
2022-12-13,43955.02,45144.55,43955.02,44928.04,2638339
2022-12-14,44928.6,45281.34,44880.33,45084.89,1871092
2022-12-15,45110.68,45122.81,44516.04,44809.64,2173736
2022-12-16,44792.95,45107.7,44100.39,45069.12,3623575
2022-12-19,44918.95,45494.53,44800.37,45270.04,1929275
2022-12-20,45267.23,45502.77,44739.1,45481.08,1649060
2022-12-21,45481.08,45686.14,45201.14,45589.3,1424763
2022-12-22,45589.57,45660.61,45237.71,45538.06,1637024
2022-12-23,45511.68,45512.62,44893.95,45007.8,1581148
2022-12-27,45009.94,45173.39,43938.92,44220.76,1260607
2022-12-28,44266.91,44290.72,43882.15,44155.5,1126132
2022-12-29,44153.18,44157.96,43757.16,44033.27,1084772
2022-12-30,44033.27,44146.96,43793.76,43793.76,1665521
2023-01-02,43860.5,43985.95,43206.89,43551.73,1151305
2023-01-03,43551.73,44614.96,43321.88,44614.96,2125132
2023-01-04,44610.73,45048.39,44335.0,44937.01,1913673
2023-01-05,44939.82,45474.63,44770.17,45228.81,2087540
2023-01-06,45237.41,45419.78,45003.52,45419.78,1525335
2023-01-09,45419.92,45929.07,45404.34,45832.49,3046941
2023-01-10,45858.29,46044.56,45501.53,46042.13,2302323
2023-01-11,46042.13,46392.64,46011.27,46277.27,3390228
2023-01-12,46276.99,46453.41,45838.36,46151.47,3030734
2023-01-13,46151.47,46567.46,45672.12,46097.83,2071460
2023-01-16,46098.77,46621.13,45948.79,46621.13,1585787
2023-01-17,46621.13,46765.41,46269.92,46313.7,3938782
2023-01-18,46406.01,46882.16,46406.01,46855.58,2401583
2023-01-19,46853.77,46853.77,46262.62,46691.8,3727234
2023-01-20,46693.18,46794.98,46275.12,46440.14,1945273
2023-01-23,46440.14,46777.3,46293.13,46777.3,2281278
2023-01-24,46828.89,46983.07,46673.36,46901.76,2734573
2023-01-25,46900.86,46913.64,46169.78,46249.05,1779818
2023-01-26,46240.45,47168.11,46240.45,46817.92,2657085
2023-01-27,46816.07,47139.5,46579.05,46645.41,1905686
2023-01-30,46645.41,46645.41,45514.25,45642.32,2302850
2023-01-31,45633.72,45772.8,45106.71,45339.18,3346722
2023-02-01,45339.18,45711.33,45067.27,45209.7,2941970
2023-02-02,45216.29,45902.37,45215.17,45643.29,1876290
2023-02-03,45643.29,45706.71,45071.66,45396.33,1354151
2023-02-06,45471.41,45476.39,44758.07,44793.85,1532439
2023-02-07,44793.85,45390.43,44743.09,45217.19,2145312
2023-02-08,45217.19,46090.3,45216.97,45883.27,1717581
2023-02-09,45870.08,46455.54,45771.26,45936.46,1967311
2023-02-10,45836.35,46177.92,45476.33,46007.11,1286120
2023-02-13,46032.14,46374.64,45999.99,46233.47,1528678
2023-02-14,46235.61,46690.45,46234.92,46386.22,1581245
2023-02-15,46383.52,46575.13,46031.64,46265.42,1139613
2023-02-16,46265.56,46587.16,45607.94,46039.34,1997967
2023-02-17,46040.48,46040.48,45485.32,45626.92,1333506
2023-02-20,45626.16,45940.28,45223.64,45225.86,1758219
2023-02-21,45227.01,45509.16,44775.16,45092.89,1517080
2023-02-22,45093.55,45198.63,44838.52,45063.48,1147753
2023-02-23,45064.17,45649.75,45064.17,45388.94,2188205
2023-02-24,45389.6,45576.28,44960.89,45268.11,1306318
