model,series,alpha,n_obs,n_violations,violation_rate,expected_rate,kupiec_stat,kupiec_p,kupiec_pass,christoffersen_stat,christoffersen_p,christoffersen_pass,basel_tl,last250_violations,as_z2,as_p,as_pass
TimesFM-2.5,EURRON_ret,0.010000,2081,48,0.023066,0.010000,27.178937,0.000000,False,27.216847,0.000001,False,Yellow,8,,,
TimesFM-2.5,EURRON_ret,0.025000,2081,92,0.044210,0.025000,30.393104,0.000000,False,30.434220,0.000000,False,Yellow,12,-5.940866,0.023000,False
TimesFM-2.5,EURRON_ret,0.050000,2081,152,0.073042,0.050000,36.084411,0.000000,False,39.338949,0.000000,False,Yellow,18,,,
TimesFM-2.5,WIG20_ret,0.010000,1997,27,0.013520,0.010000,2.794454,0.094591,True,15.727550,0.000384,False,Green,4,,,
TimesFM-2.5,WIG20_ret,0.025000,1997,55,0.027541,0.025000,3.297442,0.069388,True,8.741101,0.012644,False,Green,6,-0.242475,0.092000,True
TimesFM-2.5,WIG20_ret,0.050000,1997,96,0.048072,0.050000,10.006514,0.001560,False,10.423632,0.005452,False,Green,8,,,
TimesFM-2.5,EURPLN_ret,0.010000,2083,15,0.007201,0.010000,2.127655,0.144662,True,2.122012,0.346107,True,Green,1,,,
TimesFM-2.5,EURPLN_ret,0.025000,2083,37,0.017763,0.025000,6.844376,0.008892,False,8.695578,0.012935,False,Green,2,0.296272,0.993000,True
TimesFM-2.5,EURPLN_ret,0.050000,2083,76,0.036486,0.050000,16.600119,0.000046,False,18.150213,0.000114,False,Green,6,,,
TimesFM-2.5,PX_ret,0.010000,2003,44,0.021967,0.010000,22.487698,0.000002,False,23.403328,0.000008,False,Yellow,5,,,
TimesFM-2.5,PX_ret,0.025000,2003,87,0.043435,0.025000,27.373107,0.000000,False,31.410154,0.000000,False,Green,8,-0.902081,0.000000,False
TimesFM-2.5,PX_ret,0.050000,2003,141,0.070394,0.050000,30.117626,0.000000,False,32.807319,0.000000,False,Green,16,,,
TimesFM-2.5,EURCZK_ret,0.010000,2083,17,0.008161,0.010000,1.100669,0.294119,True,1.096962,0.577827,True,Green,3,,,
TimesFM-2.5,EURCZK_ret,0.025000,2083,53,0.025444,0.025000,2.700443,0.100320,True,2.805507,0.245919,True,Green,6,0.027082,0.612000,True
TimesFM-2.5,EURCZK_ret,0.050000,2083,114,0.054729,0.050000,12.647494,0.000376,False,13.676869,0.001072,False,Green,16,,,
